front_name,front,back_name,back
Japanese,takusan,English,very
Japanese,u-kuri,English,slowly
Japanese,hayai,English,fast
Japanese,ashita,English,tomorrow
Japanese,futsuka,English,two days
Japanese,mi-ka,English,three days
Japanese,migi,English,right
Japanese,hidari,English,left
Japanese,masugu,English,straight ahead
Japanese,achira,English,that way
Japanese,tooi,English,far
Japanese,toukuarimas,English,not far
Japanese,iku michi,English,the road to
Japanese,shujin,English,my husband
Japanese,goshujin,English,your husband
Japanese,kanai,English,my wife
Japanese,okusan,English,your wife
Japanese,kazoku,English,family
Japanese,sore kara,English,and then
Japanese,shoshite,English,and
Japanese,kudasai,English,please
Japanese,kore,English,this
Japanese,dore,English,which
Japanese,chotto,English,a little
Japanese,mate,English,wait
Japanese,soretomo,English,or
Japanese,osoi,English,late
Japanese,chotto mate,English,wait a minute
Japanese,doushite,English,why
Japanese,kara,English,because
Japanese,mo,English,already
Japanese,nisan,English,few
Japanese,asoko,English,over there
Japanese,tabun,English,maybe 
Japanese,zen zen,English,at all
Japanese,mada,English,yet
Japanese,yo-ka,English,four days
Japanese,to isho,English,together with
Japanese,imi,English,meaning
Japanese,douiu,English,what sort of
Japanese,touiu,English,what sort of
Japanese,douiu imi,English,what mean
Japanese,rita,English,liter
Japanese,kuruma,English,car
Japanese,otoko noko,English,boy
Japanese,onna noko,English,girl
Japanese,ki-ro,English,kilometer
Japanese,kodomo,English,child
Japanese,omize,English,store
Japanese,takushi-,English,taxi
Japanese,tomodachi,English,friend
Japanese,shigoto,English,work
Japanese,depa-to,English,department store
Japanese,mai,English,ago
Japanese,jikan,English,time
Japanese,aite,English,to open
Japanese,ite,English,go
Japanese,mantan nishite,English,fill it up
Japanese,iku,English,go
Japanese,shimate imasu,English,closed
Japanese,aimasu,English,to see/meet
Japanese,shimasu,English,to work
Japanese,imas,English,stay / exist
Japanese,kaerimasu,English,going home
Japanese,tabemas,English,eat
Japanese,tabemasen,English,not eat
Japanese,tabetaides,English,like to eat
Japanese,tabetakuarimasen,English,no like to eat
Japanese,nomimasu,English,to drink
Japanese,hoshiidesu,English,to want
Japanese,motteimasu,English,to have
Japanese,agemas,English,to give
Japanese,sugoshidesu,English,to spend
Japanese,kaimas,English,to buy
